tick,read_write_time_ms,mem_usage_mb,chunks_loaded,chunks_unloaded,used_cells,used_cells_bbox_w,used_cells_bbox_h,player_x,player_y,savefile_size
3578,0.053,55.9999084472656,0,0,4096,64,64,16858.91796875,16858.91796875,1589248
3579,0.055,55.9999094009399,0,0,4096,64,64,16863.6328125,16863.6328125,1589248
3580,45.184,56.7169780731201,7,7,4096,64,64,16868.34765625,16868.34765625,1589248
3581,0.039,55.9999113082886,0,0,4096,64,64,16873.0625,16873.0625,1589248
3582,0.032,55.9999122619629,0,0,4096,64,64,16877.77734375,16877.77734375,1589248
3583,0.031,55.9999132156372,0,0,4096,64,64,16882.4921875,16882.4921875,1589248
3584,0.047,55.9999141693115,0,0,4096,64,64,16887.20703125,16887.20703125,1589248
3585,0.035,55.9999151229858,0,0,4096,64,64,16891.921875,16891.921875,1589248
3586,0.045,55.9999160766602,0,0,4096,64,64,16896.63671875,16896.63671875,1589248
3587,0.056,55.9999170303345,0,0,4096,64,64,16901.3515625,16901.3515625,1589248
3588,0.052,55.9999179840088,0,0,4096,64,64,16906.06640625,16906.06640625,1589248
3589,0.044,55.9999189376831,0,0,4096,64,64,16910.78125,16910.78125,1589248
3590,0.043,55.9999198913574,0,0,4096,64,64,16915.49609375,16915.49609375,1589248
3591,0.073,55.9999208450317,0,0,4096,64,64,16920.2109375,16920.2109375,1589248
3592,0.046,55.9999217987061,0,0,4096,64,64,16924.92578125,16924.92578125,1589248
3593,0.058,55.9999227523804,0,0,4096,64,64,16929.640625,16929.640625,1589248
3594,0.061,55.9999237060547,0,0,4096,64,64,16934.35546875,16934.35546875,1589248
3595,0.042,55.999924659729,0,0,4096,64,64,16939.0703125,16939.0703125,1589248
3596,0.059,55.9999256134033,0,0,4096,64,64,16943.78515625,16943.78515625,1589248
3597,0.041,55.9999265670776,0,0,4096,64,64,16948.5,16948.5,1589248
3598,0.042,55.999927520752,0,0,4096,64,64,16953.21484375,16953.21484375,1589248
3599,0.04,55.9999284744263,0,0,4096,64,64,16957.9296875,16957.9296875,1589248
3600,0.036,55.9999294281006,0,0,4096,64,64,16962.64453125,16962.64453125,1589248
3601,0.034,55.9999303817749,0,0,4096,64,64,16967.359375,16967.359375,1589248
3602,0.034,55.9999313354492,0,0,4096,64,64,16972.07421875,16972.07421875,1589248
3603,0.069,55.9999322891235,0,0,4096,64,64,16976.7890625,16976.7890625,1589248
